value,variable
630.534,enhanced
632.141,enhanced
632.489,enhanced
633.177,enhanced
634.318,enhanced
635.506,enhanced
636.671,enhanced
636.76,enhanced
637.22,enhanced
640.291,enhanced
640.49,enhanced
642.11,enhanced
643.343,enhanced
643.555,enhanced
643.941,enhanced
646.226,enhanced
647.118,enhanced
648.311,enhanced
648.603,enhanced
651.546,enhanced
652.926,enhanced
653.931,enhanced
655.539,enhanced
656.878,enhanced
657.945,enhanced
658.06,enhanced
659.282,enhanced
661.828,enhanced
662.533,enhanced
664.153,enhanced
664.176,enhanced
664.326,enhanced
669.335,enhanced
670.361,enhanced
670.727,enhanced
670.985,enhanced
671.041,enhanced
671.909,enhanced
678.799,enhanced
679.658,enhanced
680.09,enhanced
682.251,enhanced
682.479,enhanced
682.719,enhanced
684.004,enhanced
685.287,enhanced
686.544,enhanced
689.002,enhanced
693.379,enhanced
694.388,enhanced
694.872,enhanced
695.109,enhanced
695.746,enhanced
695.955,enhanced
696.192,enhanced
697.526,enhanced
697.922,enhanced
698.07,enhanced
699.213,enhanced
702.785,enhanced
710.28,enhanced
710.466,enhanced
713.374,enhanced
716.373,enhanced
716.48,enhanced
717.588,enhanced
718.396,enhanced
719.78,enhanced
720.667,enhanced
722.614,enhanced
725.223,enhanced
725.878,enhanced
727.754,enhanced
729.142,enhanced
729.654,enhanced
729.908,enhanced
730.245,enhanced
730.474,enhanced
730.818,enhanced
731.372,enhanced
731.666,enhanced
732.108,enhanced
733.026,enhanced
735.34,enhanced
735.495,enhanced
739.191,enhanced
739.587,enhanced
740.447,enhanced
743.823,enhanced
743.955,enhanced
744.706,enhanced
746.047,enhanced
746.42,enhanced
746.467,enhanced
747.304,enhanced
748.253,enhanced
749.338,enhanced
749.682,enhanced
752.932,enhanced
753.627,enhanced
754.075,enhanced
754.457,enhanced
758.483,enhanced
759.042,enhanced
763.13,enhanced
763.664,enhanced
766.168,enhanced
771.566,enhanced
776.295,enhanced
777.007,enhanced
778.809,enhanced
783.035,enhanced
784.827,enhanced
787.476,enhanced
788.45,enhanced
788.84,enhanced
789.618,enhanced
790.525,enhanced
790.736,enhanced
791.627,enhanced
791.916,enhanced
791.994,enhanced
792.472,enhanced
793.472,enhanced
795.297,enhanced
795.404,enhanced
795.867,enhanced
796.723,enhanced
798.928,enhanced
801.912,enhanced
804.191,enhanced
804.443,enhanced
805.498,enhanced
805.563,enhanced
808.931,enhanced
809.593,enhanced
809.877,enhanced
810.911,enhanced
812.949,enhanced
813.849,enhanced
814.126,enhanced
814.379,enhanced
814.725,enhanced
815.214,enhanced
816.487,enhanced
819.622,enhanced
820.342,enhanced
820.412,enhanced
821.794,enhanced
822.943,enhanced
823.479,enhanced
824.571,enhanced
833.207,enhanced
835.461,enhanced
835.967,enhanced
837.413,enhanced
838.327,enhanced
840.411,enhanced
840.896,enhanced
841.303,enhanced
843.161,enhanced
843.491,enhanced
845.525,enhanced
847.053,enhanced
851.583,enhanced
853.281,enhanced
857.719,enhanced
859.656,enhanced
860.906,enhanced
862.125,enhanced
866.058,enhanced
867.423,enhanced
869.746,enhanced
870.169,enhanced
870.471,enhanced
872.048,enhanced
877.349,enhanced
877.868,enhanced
878.044,enhanced
879.699,enhanced
883.976,enhanced
885.034,enhanced
888.758,enhanced
888.886,enhanced
888.998,enhanced
890.275,enhanced
892.121,enhanced
892.717,enhanced
897.836,enhanced
900.091,enhanced
900.309,enhanced
900.502,enhanced
903.705,enhanced
903.774,enhanced
907.386,enhanced
911.161,enhanced
911.762,enhanced
912.184,enhanced
912.215,enhanced
912.449,enhanced
914.283,enhanced
914.311,enhanced
914.321,enhanced
914.602,enhanced
917.336,enhanced
921.377,enhanced
925.263,enhanced
930.753,enhanced
931.562,enhanced
933.023,enhanced
934.7,enhanced
935.759,enhanced
936.073,enhanced
936.224,enhanced
938.782,enhanced
939.43,enhanced
939.593,enhanced
939.61,enhanced
939.96,enhanced
940.546,enhanced
941.466,enhanced
942.506,enhanced
942.55,enhanced
947.192,enhanced
951.116,enhanced
959.465,enhanced
959.858,enhanced
960.535,enhanced
964.384,enhanced
965.314,enhanced
967.332,enhanced
968.902,enhanced
969.88,enhanced
972.811,enhanced
974.187,enhanced
979.933,enhanced
980.43,enhanced
980.606,enhanced
982.938,enhanced
983.422,enhanced
987.456,enhanced
989.134,enhanced
992.835,enhanced
993.122,enhanced
993.154,enhanced
995.952,enhanced
997.659,enhanced
998.672,enhanced
999.669,enhanced
1001.302,enhanced
1001.912,enhanced
1004.515,enhanced
1007.32,enhanced
1010.008,enhanced
1010.216,enhanced
1011.432,enhanced
1011.631,enhanced
1012.074,enhanced
1016.473,enhanced
1017.116,enhanced
1017.303,enhanced
1017.795,enhanced
1021.998,enhanced
1023.415,enhanced
1024.167,enhanced
1024.272,enhanced
1029.776,enhanced
1033.109,enhanced
1035.297,enhanced
1035.75,enhanced
1036.616,enhanced
1037.116,enhanced
1038.03,enhanced
1039.071,enhanced
1040.547,enhanced
1046.377,enhanced
1046.767,enhanced
1047.937,enhanced
1048.015,enhanced
1052.596,enhanced
1054.482,enhanced
1054.963,enhanced
1055.136,enhanced
1056.754,enhanced
1059.11,enhanced
1059.623,enhanced
1069.796,enhanced
1070.054,enhanced
1074.488,enhanced
1075.338,enhanced
1076.46,enhanced
1078.566,enhanced
1083.961,enhanced
1084.708,enhanced
1088.187,enhanced
1095.333,enhanced
1097.551,enhanced
1102.101,enhanced
1105.347,enhanced
1107.434,enhanced
1109.946,enhanced
1111.676,enhanced
1114.155,enhanced
1118.601,enhanced
1118.953,enhanced
1120.711,enhanced
1126.019,enhanced
1128.121,enhanced
1140.038,enhanced
1141.64,enhanced
1142.611,enhanced
1145.286,enhanced
1145.875,enhanced
1146.384,enhanced
1146.853,enhanced
1147.133,enhanced
1147.23,enhanced
1152.087,enhanced
1153.095,enhanced
1154.183,enhanced
1157.68,enhanced
1160.795,enhanced
1161.187,enhanced
1163.6,enhanced
1167.246,enhanced
1167.713,enhanced
1167.924,enhanced
1168.596,enhanced
1171.065,enhanced
1171.526,enhanced
1171.607,enhanced
1173.729,enhanced
1173.963,enhanced
1177.59,enhanced
1178.307,enhanced
1179.655,enhanced
1181.288,enhanced
1187.325,enhanced
1187.795,enhanced
1187.826,enhanced
1190.24,enhanced
1192.642,enhanced
1198.978,enhanced
1204.597,enhanced
1206.711,enhanced
1207.703,enhanced
1208.004,enhanced
1210.241,enhanced
1214.629,enhanced
1217,enhanced
1225.061,enhanced
1232.944,enhanced
1234.858,enhanced
1238.107,enhanced
1244.084,enhanced
1246.188,enhanced
1246.62,enhanced
1246.694,enhanced
1248.193,enhanced
1249.655,enhanced
1250.941,enhanced
1252.697,enhanced
1252.881,enhanced
1262.06,enhanced
1263.127,enhanced
1267.61,enhanced
1267.784,enhanced
1269.055,enhanced
1275.294,enhanced
1281.162,enhanced
1282.589,enhanced
1284.047,enhanced
1285.07,enhanced
1292.619,enhanced
1293.351,enhanced
1294.802,enhanced
1315.716,enhanced
1318.12,enhanced
1327.816,enhanced
1328.131,enhanced
1329.723,enhanced
1336.981,enhanced
1337.842,enhanced
1338.823,enhanced
1340.247,enhanced
1343.85,enhanced
1344.181,enhanced
1344.858,enhanced
1350.031,enhanced
1352.499,enhanced
1353.597,enhanced
1353.765,enhanced
1361.689,enhanced
1362.473,enhanced
1363.425,enhanced
1365.776,enhanced
1371.447,enhanced
1371.493,enhanced
1375.96,enhanced
1381.841,enhanced
1384.317,enhanced
1387.26,enhanced
1390.513,enhanced
1391.68,enhanced
1392.513,enhanced
1393.23,enhanced
1399.271,enhanced
1408.285,enhanced
1410.722,enhanced
1410.876,enhanced
1411.422,enhanced
1412.565,enhanced
1413.797,enhanced
1419.632,enhanced
1420.328,enhanced
1422.361,enhanced
1423.937,enhanced
1424.523,enhanced
1427.632,enhanced
1430.049,enhanced
1435.653,enhanced
1440.367,enhanced
1441.619,enhanced
1442.737,enhanced
1445.489,enhanced
1445.831,enhanced
1452.371,enhanced
1463.971,enhanced
1464.082,enhanced
1467.183,enhanced
1471.3,enhanced
1475.187,enhanced
1483.241,enhanced
1495.911,enhanced
1497.08,enhanced
1497.298,enhanced
1503.499,enhanced
1512.24,enhanced
1524.725,enhanced
1531.434,enhanced
1540.465,enhanced
1543.604,enhanced
1545.138,enhanced
1556.109,enhanced
1557.15,enhanced
1561.561,enhanced
1562.765,enhanced
1564.362,enhanced
1566.069,enhanced
1569.04,enhanced
1571.837,enhanced
1573.968,enhanced
1575.655,enhanced
1576.49,enhanced
1577.328,enhanced
1577.997,enhanced
1583.358,enhanced
1585.833,enhanced
1586.681,enhanced
1586.721,enhanced
1588.1,enhanced
1589.922,enhanced
1592.496,enhanced
1599.139,enhanced
1602.919,enhanced
1609.604,enhanced
1609.612,enhanced
1611.071,enhanced
1613.377,enhanced
1622.34,enhanced
1627.107,enhanced
1628.866,enhanced
1629.976,enhanced
1640.369,enhanced
1642.11,enhanced
1642.31,enhanced
1670.779,enhanced
1675.53,enhanced
1680.253,enhanced
1680.877,enhanced
1682.978,enhanced
1685.46,enhanced
1687.401,enhanced
1688.157,enhanced
1689.064,enhanced
1696.657,enhanced
1698.954,enhanced
1699.924,enhanced
1702.359,enhanced
1706.852,enhanced
1709.578,enhanced
1709.779,enhanced
1710.955,enhanced
1711.951,enhanced
1719.537,enhanced
1724.724,enhanced
1728.281,enhanced
1740.737,enhanced
1743.86,enhanced
1745.406,enhanced
1749.35,enhanced
1750.8,enhanced
1753.933,enhanced
1757.635,enhanced
1762.226,enhanced
1766.397,enhanced
1777.084,enhanced
1777.375,enhanced
1778.264,enhanced
1778.687,enhanced
1782.418,enhanced
1785.731,enhanced
1785.774,enhanced
1786.331,enhanced
1798.335,enhanced
1805.174,enhanced
1815.122,enhanced
1816.47,enhanced
1817.885,enhanced
1818.322,enhanced
1829.726,enhanced
1833.531,enhanced
1844.455,enhanced
1856.157,enhanced
1875.189,enhanced
1880.994,enhanced
1881.997,enhanced
1884.688,enhanced
1890.795,enhanced
1891.013,enhanced
1897.797,enhanced
1899.339,enhanced
1908.598,enhanced
1915.302,enhanced
1920.54,enhanced
1926.881,enhanced
1930.53,enhanced
1931.305,enhanced
1934.891,enhanced
1936.728,enhanced
1940.266,enhanced
1952.511,enhanced
1956.151,enhanced
1957.354,enhanced
1958.412,enhanced
1967.265,enhanced
1985.36,enhanced
2007.6,enhanced
2009.282,enhanced
2009.769,enhanced
2011.784,enhanced
2014.695,enhanced
2027.093,enhanced
2042.95,enhanced
2049.334,enhanced
2058.835,enhanced
2067.398,enhanced
2085.164,enhanced
2094.055,enhanced
2097.943,enhanced
2100.517,enhanced
2114.333,enhanced
2140.469,enhanced
2149.001,enhanced
2160.248,enhanced
2161.084,enhanced
2161.415,enhanced
2171.473,enhanced
2176.812,enhanced
2190.373,enhanced
2196.594,enhanced
2210.509,enhanced
2212.089,enhanced
2215.712,enhanced
2218.155,enhanced
2221.202,enhanced
2221.883,enhanced
2222.85,enhanced
2238.445,enhanced
2241.588,enhanced
2256.773,enhanced
2264.691,enhanced
2267.356,enhanced
2270.966,enhanced
2271.986,enhanced
2291.493,enhanced
2297.651,enhanced
2301.313,enhanced
2302.114,enhanced
2305.406,enhanced
2312.68,enhanced
2313.48,enhanced
2318.821,enhanced
2318.854,enhanced
2322.676,enhanced
2341.363,enhanced
2350.716,enhanced
2359.791,enhanced
2360.043,enhanced
2363.544,enhanced
2369.577,enhanced
2374.646,enhanced
2377.614,enhanced
2410.293,enhanced
2413.273,enhanced
2423.678,enhanced
2452.911,enhanced
2465.499,enhanced
2485.823,enhanced
2491.786,enhanced
2492.188,enhanced
2492.448,enhanced
2512.022,enhanced
2515.308,enhanced
2529.576,enhanced
2532.793,enhanced
2543.849,enhanced
2554.862,enhanced
2579.846,enhanced
2584.109,enhanced
2587.003,enhanced
2618.178,enhanced
2622.721,enhanced
2626.795,enhanced
2632.232,enhanced
2633.452,enhanced
2663.708,enhanced
2666.781,enhanced
2715.276,enhanced
2742.076,enhanced
2742.91,enhanced
2745.039,enhanced
2769.74,enhanced
2771.932,enhanced
2779.818,enhanced
2790.183,enhanced
2792.754,enhanced
2799.612,enhanced
2803.698,enhanced
2828.368,enhanced
2834.662,enhanced
2869.31,enhanced
2883.361,enhanced
2911.371,enhanced
2911.454,enhanced
2953.234,enhanced
2961.813,enhanced
2981.843,enhanced
3002.25,enhanced
3004.752,enhanced
3015.113,enhanced
3023.371,enhanced
3024.494,enhanced
3024.919,enhanced
3026.891,enhanced
3028.785,enhanced
3029.269,enhanced
3043.265,enhanced
3045.064,enhanced
3060.966,enhanced
3061.906,enhanced
3086.751,enhanced
3087.81,enhanced
3098.328,enhanced
3127.846,enhanced
3145.015,enhanced
3175.55,enhanced
3189.515,enhanced
3205.235,enhanced
3214.294,enhanced
3219.225,enhanced
3246.574,enhanced
3266.592,enhanced
3274.062,enhanced
3281.701,enhanced
3285.732,enhanced
3286.596,enhanced
3308.025,enhanced
3328.301,enhanced
3336.005,enhanced
3349.279,enhanced
3360.612,enhanced
3361.835,enhanced
3369.618,enhanced
3387.162,enhanced
3414.116,enhanced
3414.783,enhanced
3437.673,enhanced
3492.003,enhanced
3495.057,enhanced
3500.898,enhanced
3607.229,enhanced
3611.971,enhanced
3633.775,enhanced
3645.093,enhanced
3656.425,enhanced
3660.966,enhanced
3684.108,enhanced
3724.205,enhanced
3746.248,enhanced
3799.898,enhanced
3817.666,enhanced
3831.402,enhanced
3849.606,enhanced
3854.646,enhanced
3892.091,enhanced
3901.381,enhanced
3950.764,enhanced
3959.442,enhanced
3971.014,enhanced
3990.098,enhanced
4093.545,enhanced
4163.88,enhanced
4172.777,enhanced
4229.585,enhanced
4229.809,enhanced
4247.405,enhanced
4307.684,enhanced
4310.838,enhanced
4320.023,enhanced
4324.303,enhanced
4337.094,enhanced
4355.412,enhanced
4376.279,enhanced
4406.305,enhanced
4428.08,enhanced
4502.286,enhanced
4529.091,enhanced
4552.161,enhanced
4580.769,enhanced
4596.922,enhanced
4614.904,enhanced
4621.428,enhanced
4694.642,enhanced
4726.998,enhanced
4767.015,enhanced
4818.357,enhanced
4823.016,enhanced
4834.327,enhanced
4846.105,enhanced
4883.75,enhanced
4906.172,enhanced
4917.302,enhanced
4922.769,enhanced
5026.98,enhanced
5061.72,enhanced
5144.559,enhanced
5183.864,enhanced
5221.764,enhanced
5225.324,enhanced
5261.952,enhanced
5309.234,enhanced
5321.212,enhanced
5428.862,enhanced
5469.918,enhanced
5507.764,enhanced
5574.514,enhanced
5623.094,enhanced
5713.599,enhanced
5761.516,enhanced
5788.233,enhanced
5802.642,enhanced
5980.878,enhanced
6226.509,enhanced
6257.004,enhanced
6269.094,enhanced
6356.593,enhanced
6370.737,enhanced
6384.678,enhanced
6427.273,enhanced
6477.124,enhanced
6536.907,enhanced
6555.056,enhanced
6556.48,enhanced
6742.048,enhanced
6821.455,enhanced
6979.232,enhanced
7017.497,enhanced
7024.998,enhanced
7044.754,enhanced
7131.955,enhanced
7135.713,enhanced
7349.63,enhanced
7425.13,enhanced
7525.261,enhanced
7823.14,enhanced
7871.221,enhanced
8023.149,enhanced
8045.81,enhanced
8173.634,enhanced
8408.641,enhanced
8419.152,enhanced
8528.877,enhanced
8552.364,enhanced
8608.411,enhanced
8773.52,enhanced
9064.975,enhanced
9221.875,enhanced
9294.868,enhanced
9523.239,enhanced
10519.636,enhanced
10939.653,enhanced
11003.107,enhanced
11996.52,enhanced
13018.627,enhanced
13345.483,enhanced
13583.424,enhanced
14494.169,enhanced
14677.029,enhanced
14927.813,enhanced
15578.642,enhanced
16295.351,enhanced
16395.495,enhanced
21985.919,enhanced
22315.352,enhanced
24784.267,enhanced
0.003,specific
0.003,specific
0.003,specific
0.003,specific
0.003,specific
0.003,specific
0.003,specific
0.003,specific
0.003,specific
0.003,specific
0.003,specific
0.003,specific
0.006,specific
0.006,specific
0.006,specific
0.006,specific
0.006,specific
0.006,specific
0.006,specific
0.006,specific
0.006,specific
0.009,specific
0.009,specific
0.009,specific
0.012,specific
0.012,specific
0.012,specific
0.012,specific
0.012,specific
0.012,specific
0.012,specific
0.012,specific
0.012,specific
0.012,specific
0.012,specific
0.012,specific
0.015,specific
0.015,specific
0.015,specific
0.015,specific
0.018,specific
0.018,specific
0.018,specific
0.021,specific
0.021,specific
0.021,specific
0.022,specific
0.024,specific
0.024,specific
0.024,specific
0.027,specific
0.027,specific
0.027,specific
0.027,specific
0.027,specific
0.027,specific
0.03,specific
0.03,specific
0.03,specific
0.03,specific
0.03,specific
0.033,specific
0.033,specific
0.033,specific
0.033,specific
0.033,specific
0.033,specific
0.033,specific
0.036,specific
0.036,specific
0.036,specific
0.036,specific
0.039,specific
0.039,specific
0.039,specific
0.039,specific
0.039,specific
0.039,specific
0.039,specific
0.042,specific
0.042,specific
0.042,specific
0.042,specific
0.042,specific
0.042,specific
0.045,specific
0.045,specific
0.045,specific
0.045,specific
0.045,specific
0.045,specific
0.045,specific
0.045,specific
0.045,specific
0.045,specific
0.048,specific
0.048,specific
0.048,specific
0.048,specific
0.048,specific
0.048,specific
0.048,specific
0.051,specific
0.051,specific
0.051,specific
0.054,specific
0.054,specific
0.054,specific
0.054,specific
0.054,specific
0.057,specific
0.057,specific
0.057,specific
0.057,specific
0.057,specific
0.057,specific
0.057,specific
0.057,specific
0.057,specific
0.057,specific
0.06,specific
0.06,specific
0.06,specific
0.06,specific
0.063,specific
0.063,specific
0.063,specific
0.063,specific
0.063,specific
0.063,specific
0.066,specific
0.069,specific
0.069,specific
0.069,specific
0.069,specific
0.069,specific
0.072,specific
0.072,specific
0.072,specific
0.072,specific
0.075,specific
0.075,specific
0.075,specific
0.075,specific
0.075,specific
0.075,specific
0.077,specific
0.078,specific
0.078,specific
0.078,specific
0.078,specific
0.078,specific
0.081,specific
0.081,specific
0.081,specific
0.083,specific
0.084,specific
0.084,specific
0.084,specific
0.084,specific
0.087,specific
0.087,specific
0.087,specific
0.087,specific
0.09,specific
0.09,specific
0.09,specific
0.09,specific
0.093,specific
0.093,specific
0.093,specific
0.096,specific
0.096,specific
0.096,specific
0.097,specific
0.099,specific
0.099,specific
0.099,specific
0.102,specific
0.102,specific
0.102,specific
0.105,specific
0.105,specific
0.105,specific
0.108,specific
0.108,specific
0.111,specific
0.111,specific
0.111,specific
0.111,specific
0.112,specific
0.114,specific
0.114,specific
0.114,specific
0.117,specific
0.117,specific
0.117,specific
0.12,specific
0.12,specific
0.12,specific
0.12,specific
0.12,specific
0.126,specific
0.126,specific
0.126,specific
0.129,specific
0.129,specific
0.129,specific
0.129,specific
0.129,specific
0.129,specific
0.129,specific
0.132,specific
0.132,specific
0.132,specific
0.132,specific
0.132,specific
0.132,specific
0.135,specific
0.135,specific
0.135,specific
0.135,specific
0.138,specific
0.138,specific
0.141,specific
0.141,specific
0.144,specific
0.146,specific
0.147,specific
0.147,specific
0.149,specific
0.15,specific
0.156,specific
0.156,specific
0.156,specific
0.156,specific
0.157,specific
0.159,specific
0.159,specific
0.165,specific
0.165,specific
0.168,specific
0.168,specific
0.169,specific
0.171,specific
0.171,specific
0.174,specific
0.174,specific
0.177,specific
0.179,specific
0.18,specific
0.182,specific
0.182,specific
0.183,specific
0.183,specific
0.187,specific
0.19,specific
0.192,specific
0.192,specific
0.195,specific
0.198,specific
0.201,specific
0.204,specific
0.205,specific
0.206,specific
0.207,specific
0.213,specific
0.215,specific
0.216,specific
0.216,specific
0.219,specific
0.219,specific
0.222,specific
0.225,specific
0.225,specific
0.225,specific
0.225,specific
0.226,specific
0.228,specific
0.23,specific
0.231,specific
0.231,specific
0.233,specific
0.234,specific
0.235,specific
0.238,specific
0.24,specific
0.24,specific
0.24,specific
0.24,specific
0.24,specific
0.241,specific
0.243,specific
0.243,specific
0.244,specific
0.246,specific
0.246,specific
0.249,specific
0.249,specific
0.249,specific
0.252,specific
0.258,specific
0.258,specific
0.258,specific
0.261,specific
0.261,specific
0.264,specific
0.27,specific
0.27,specific
0.281,specific
0.282,specific
0.282,specific
0.285,specific
0.294,specific
0.297,specific
0.297,specific
0.298,specific
0.3,specific
0.3,specific
0.3,specific
0.303,specific
0.303,specific
0.304,specific
0.309,specific
0.311,specific
0.316,specific
0.318,specific
0.321,specific
0.324,specific
0.327,specific
0.327,specific
0.328,specific
0.336,specific
0.337,specific
0.342,specific
0.345,specific
0.348,specific
0.348,specific
0.351,specific
0.351,specific
0.354,specific
0.354,specific
0.354,specific
0.362,specific
0.363,specific
0.367,specific
0.369,specific
0.369,specific
0.37,specific
0.37,specific
0.391,specific
0.396,specific
0.401,specific
0.402,specific
0.411,specific
0.411,specific
0.414,specific
0.414,specific
0.417,specific
0.429,specific
0.432,specific
0.444,specific
0.452,specific
0.465,specific
0.471,specific
0.471,specific
0.474,specific
0.476,specific
0.476,specific
0.484,specific
0.499,specific
0.501,specific
0.501,specific
0.513,specific
0.516,specific
0.522,specific
0.531,specific
0.531,specific
0.54,specific
0.54,specific
0.544,specific
0.546,specific
0.559,specific
0.569,specific
0.57,specific
0.577,specific
0.587,specific
0.591,specific
0.593,specific
0.595,specific
0.596,specific
0.597,specific
0.597,specific
0.603,specific
0.606,specific
0.612,specific
0.616,specific
0.619,specific
0.619,specific
0.622,specific
0.627,specific
0.637,specific
0.647,specific
0.65,specific
0.651,specific
0.666,specific
0.672,specific
0.678,specific
0.682,specific
0.709,specific
0.713,specific
0.714,specific
0.723,specific
0.732,specific
0.735,specific
0.739,specific
0.742,specific
0.744,specific
0.744,specific
0.748,specific
0.753,specific
0.779,specific
0.795,specific
0.819,specific
0.825,specific
0.837,specific
0.844,specific
0.846,specific
0.867,specific
0.869,specific
0.874,specific
0.884,specific
0.89,specific
0.89,specific
0.912,specific
0.921,specific
0.93,specific
0.932,specific
0.936,specific
0.952,specific
0.956,specific
0.963,specific
1.007,specific
1.014,specific
1.017,specific
1.032,specific
1.05,specific
1.053,specific
1.056,specific
1.056,specific
1.057,specific
1.062,specific
1.106,specific
1.113,specific
1.122,specific
1.143,specific
1.15,specific
1.155,specific
1.163,specific
1.178,specific
1.178,specific
1.255,specific
1.268,specific
1.295,specific
1.316,specific
1.317,specific
1.317,specific
1.329,specific
1.361,specific
1.365,specific
1.392,specific
1.412,specific
1.416,specific
1.427,specific
1.435,specific
1.437,specific
1.447,specific
1.47,specific
1.492,specific
1.524,specific
1.536,specific
1.548,specific
1.562,specific
1.568,specific
1.583,specific
1.593,specific
1.623,specific
1.632,specific
1.632,specific
1.642,specific
1.731,specific
1.779,specific
1.797,specific
1.827,specific
1.831,specific
1.838,specific
1.881,specific
1.917,specific
1.923,specific
2.008,specific
2.01,specific
2.018,specific
2.032,specific
2.041,specific
2.072,specific
2.104,specific
2.121,specific
2.124,specific
2.223,specific
2.268,specific
2.319,specific
2.333,specific
2.336,specific
2.357,specific
2.385,specific
2.393,specific
2.414,specific
2.433,specific
2.443,specific
2.487,specific
2.493,specific
2.571,specific
2.639,specific
2.668,specific
2.722,specific
2.741,specific
2.761,specific
2.79,specific
2.809,specific
2.812,specific
2.832,specific
2.855,specific
2.884,specific
2.887,specific
2.895,specific
2.94,specific
2.958,specific
2.96,specific
2.983,specific
3.002,specific
3.007,specific
3.02,specific
3.024,specific
3.098,specific
3.125,specific
3.131,specific
3.135,specific
3.306,specific
3.314,specific
3.326,specific
3.408,specific
3.475,specific
3.49,specific
3.512,specific
3.627,specific
3.642,specific
3.673,specific
3.822,specific
3.842,specific
3.885,specific
3.898,specific
4.19,specific
4.256,specific
4.323,specific
4.42,specific
4.567,specific
4.65,specific
4.763,specific
4.809,specific
4.918,specific
5.001,specific
5.281,specific
5.41,specific
5.469,specific
5.706,specific
5.724,specific
6.113,specific
6.149,specific
6.321,specific
6.354,specific
6.373,specific
6.397,specific
6.462,specific
6.575,specific
7.186,specific
7.214,specific
7.3,specific
7.363,specific
7.794,specific
8.153,specific
8.42,specific
8.492,specific
8.586,specific
8.603,specific
8.943,specific
9.504,specific
10.341,specific
10.362,specific
10.822,specific
10.844,specific
11.232,specific
11.615,specific
11.818,specific
11.889,specific
11.91,specific
11.99,specific
12.187,specific
13.312,specific
14.265,specific
14.572,specific
15.048,specific
15.056,specific
15.599,specific
16.109,specific
16.136,specific
16.229,specific
16.398,specific
16.784,specific
17.278,specific
17.537,specific
18.129,specific
18.588,specific
19.458,specific
19.737,specific
19.806,specific
20.085,specific
21.015,specific
21.179,specific
21.438,specific
21.913,specific
22.27,specific
22.331,specific
23.162,specific
23.787,specific
25.044,specific
25.873,specific
26.97,specific
27.504,specific
27.839,specific
28.007,specific
28.758,specific
28.89,specific
29.971,specific
31.373,specific
31.883,specific
31.946,specific
34.332,specific
36.008,specific
37.459,specific
38.08,specific
38.291,specific
38.429,specific
40.742,specific
41.472,specific
41.522,specific
42.137,specific
42.453,specific
43.104,specific
43.321,specific
43.437,specific
44.215,specific
45.165,specific
45.432,specific
45.643,specific
45.656,specific
45.689,specific
45.699,specific
45.866,specific
45.963,specific
46.685,specific
47.309,specific
47.33,specific
47.589,specific
48.315,specific
49.89,specific
50.577,specific
50.693,specific
50.93,specific
52.863,specific
53.596,specific
55.601,specific
55.873,specific
56.1,specific
56.43,specific
56.916,specific
58.027,specific
58.432,specific
59.939,specific
60.115,specific
60.186,specific
60.297,specific
61.169,specific
61.389,specific
61.926,specific
61.992,specific
62.317,specific
63.282,specific
63.816,specific
64.041,specific
64.649,specific
65.04,specific
65.368,specific
67.187,specific
67.637,specific
67.745,specific
68.525,specific
69.83,specific
70.014,specific
70.59,specific
71.835,specific
72.089,specific
72.302,specific
72.346,specific
73.74,specific
74.114,specific
74.921,specific
75.345,specific
75.402,specific
75.437,specific
75.517,specific
76.251,specific
76.866,specific
77.043,specific
78.29,specific
78.489,specific
78.672,specific
79.065,specific
79.443,specific
79.718,specific
80.063,specific
81.637,specific
82.048,specific
82.696,specific
82.821,specific
82.823,specific
82.891,specific
82.948,specific
83.29,specific
83.666,specific
83.802,specific
84.943,specific
85.491,specific
85.616,specific
85.645,specific
87.175,specific
87.563,specific
87.768,specific
87.976,specific
88.665,specific
88.851,specific
88.89,specific
90.146,specific
90.395,specific
91.123,specific
91.278,specific
91.678,specific
93.114,specific
93.318,specific
93.743,specific
93.84,specific
94.732,specific
95.832,specific
96.347,specific
97.348,specific
97.423,specific
97.43,specific
97.885,specific
98.426,specific
99.248,specific
99.957,specific
100.19,specific
100.524,specific
100.724,specific
102.446,specific
102.83,specific
103.006,specific
104.025,specific
104.347,specific
105.075,specific
105.41,specific
105.651,specific
106.693,specific
107.324,specific
107.571,specific
107.657,specific
108.044,specific
109.239,specific
109.513,specific
110.807,specific
110.932,specific
111.272,specific
111.485,specific
111.591,specific
111.69,specific
111.895,specific
112.031,specific
112.762,specific
112.9,specific
113.759,specific
113.95,specific
114.266,specific
115.041,specific
115.179,specific
115.358,specific
116.917,specific
117.471,specific
117.531,specific
117.732,specific
117.947,specific
117.96,specific
118.343,specific
119.873,specific
121.064,specific
121.77,specific
122.618,specific
123.709,specific
123.924,specific
124.186,specific
124.347,specific
125.643,specific
127.584,specific
127.612,specific
128.46,specific
128.521,specific
128.682,specific
129.92,specific
130.427,specific
131.1,specific
131.632,specific
131.743,specific
132.174,specific
133.803,specific
134.097,specific
134.468,specific
134.589,specific
134.937,specific
135.769,specific
136.281,specific
136.439,specific
137.01,specific
137.607,specific
137.922,specific
138.204,specific
138.61,specific
139.063,specific
139.853,specific
139.853,specific
140.131,specific
141.442,specific
141.929,specific
142.098,specific
142.706,specific
143.285,specific
144.262,specific
144.397,specific
144.882,specific
145,specific
145.083,specific
145.615,specific
146.556,specific
147.105,specific
147.194,specific
148.892,specific
149.225,specific
149.93,specific
150.296,specific
150.379,specific
150.523,specific
150.6,specific
