value,variable
0.315,enhanced
0.318,enhanced
0.321,enhanced
0.321,enhanced
0.321,enhanced
0.322,enhanced
0.323,enhanced
0.328,enhanced
0.332,enhanced
0.336,enhanced
0.339,enhanced
0.342,enhanced
0.347,enhanced
0.348,enhanced
0.354,enhanced
0.36,enhanced
0.36,enhanced
0.364,enhanced
0.373,enhanced
0.374,enhanced
0.375,enhanced
0.394,enhanced
0.399,enhanced
0.405,enhanced
0.407,enhanced
0.408,enhanced
0.409,enhanced
0.409,enhanced
0.41,enhanced
0.414,enhanced
0.423,enhanced
0.429,enhanced
0.432,enhanced
0.433,enhanced
0.435,enhanced
0.438,enhanced
0.441,enhanced
0.448,enhanced
0.45,enhanced
0.453,enhanced
0.457,enhanced
0.468,enhanced
0.473,enhanced
0.474,enhanced
0.477,enhanced
0.489,enhanced
0.491,enhanced
0.501,enhanced
0.503,enhanced
0.504,enhanced
0.51,enhanced
0.513,enhanced
0.519,enhanced
0.524,enhanced
0.525,enhanced
0.531,enhanced
0.534,enhanced
0.534,enhanced
0.543,enhanced
0.559,enhanced
0.569,enhanced
0.57,enhanced
0.573,enhanced
0.578,enhanced
0.586,enhanced
0.593,enhanced
0.597,enhanced
0.6,enhanced
0.61,enhanced
0.611,enhanced
0.612,enhanced
0.621,enhanced
0.625,enhanced
0.625,enhanced
0.652,enhanced
0.658,enhanced
0.664,enhanced
0.664,enhanced
0.67,enhanced
0.681,enhanced
0.682,enhanced
0.686,enhanced
0.694,enhanced
0.697,enhanced
0.706,enhanced
0.712,enhanced
0.723,enhanced
0.723,enhanced
0.726,enhanced
0.741,enhanced
0.744,enhanced
0.756,enhanced
0.756,enhanced
0.757,enhanced
0.761,enhanced
0.768,enhanced
0.806,enhanced
0.819,enhanced
0.823,enhanced
0.832,enhanced
0.84,enhanced
0.843,enhanced
0.843,enhanced
0.846,enhanced
0.846,enhanced
0.867,enhanced
0.869,enhanced
0.898,enhanced
0.921,enhanced
0.935,enhanced
0.943,enhanced
0.961,enhanced
0.962,enhanced
0.974,enhanced
0.977,enhanced
0.988,enhanced
0.989,enhanced
0.998,enhanced
1.004,enhanced
1.008,enhanced
1.013,enhanced
1.038,enhanced
1.042,enhanced
1.058,enhanced
1.059,enhanced
1.065,enhanced
1.089,enhanced
1.1,enhanced
1.121,enhanced
1.122,enhanced
1.138,enhanced
1.141,enhanced
1.149,enhanced
1.17,enhanced
1.173,enhanced
1.174,enhanced
1.232,enhanced
1.234,enhanced
1.24,enhanced
1.244,enhanced
1.247,enhanced
1.277,enhanced
1.278,enhanced
1.297,enhanced
1.303,enhanced
1.336,enhanced
1.338,enhanced
1.34,enhanced
1.343,enhanced
1.359,enhanced
1.374,enhanced
1.388,enhanced
1.402,enhanced
1.431,enhanced
1.432,enhanced
1.455,enhanced
1.461,enhanced
1.474,enhanced
1.475,enhanced
1.521,enhanced
1.539,enhanced
1.552,enhanced
1.566,enhanced
1.578,enhanced
1.583,enhanced
1.609,enhanced
1.615,enhanced
1.636,enhanced
1.636,enhanced
1.638,enhanced
1.641,enhanced
1.647,enhanced
1.648,enhanced
1.651,enhanced
1.7,enhanced
1.703,enhanced
1.704,enhanced
1.729,enhanced
1.751,enhanced
1.755,enhanced
1.756,enhanced
1.777,enhanced
1.835,enhanced
1.837,enhanced
1.865,enhanced
1.873,enhanced
1.877,enhanced
1.88,enhanced
1.88,enhanced
1.918,enhanced
1.949,enhanced
1.959,enhanced
1.992,enhanced
1.995,enhanced
1.997,enhanced
2.018,enhanced
2.028,enhanced
2.035,enhanced
2.07,enhanced
2.071,enhanced
2.075,enhanced
2.098,enhanced
2.106,enhanced
2.196,enhanced
2.232,enhanced
2.244,enhanced
2.251,enhanced
2.263,enhanced
2.283,enhanced
2.328,enhanced
2.355,enhanced
2.358,enhanced
2.369,enhanced
2.407,enhanced
2.434,enhanced
2.447,enhanced
2.538,enhanced
2.551,enhanced
2.66,enhanced
2.674,enhanced
2.812,enhanced
2.829,enhanced
2.832,enhanced
2.842,enhanced
2.856,enhanced
2.861,enhanced
3.003,enhanced
3.048,enhanced
3.135,enhanced
3.139,enhanced
3.144,enhanced
3.146,enhanced
3.15,enhanced
3.274,enhanced
3.287,enhanced
3.372,enhanced
3.41,enhanced
3.567,enhanced
3.574,enhanced
3.602,enhanced
3.604,enhanced
3.635,enhanced
3.638,enhanced
3.65,enhanced
3.694,enhanced
3.826,enhanced
3.874,enhanced
3.982,enhanced
4.074,enhanced
4.149,enhanced
4.2,enhanced
4.247,enhanced
4.266,enhanced
4.356,enhanced
4.37,enhanced
4.424,enhanced
4.566,enhanced
4.589,enhanced
4.663,enhanced
4.715,enhanced
4.914,enhanced
5.018,enhanced
5.186,enhanced
5.288,enhanced
5.301,enhanced
5.339,enhanced
5.487,enhanced
6.242,enhanced
6.387,enhanced
6.396,enhanced
6.397,enhanced
6.478,enhanced
6.508,enhanced
6.654,enhanced
6.783,enhanced
7.025,enhanced
7.051,enhanced
7.146,enhanced
7.741,enhanced
8.057,enhanced
8.188,enhanced
8.231,enhanced
8.383,enhanced
8.514,enhanced
8.756,enhanced
8.816,enhanced
8.875,enhanced
9.243,enhanced
9.412,enhanced
10.46,enhanced
10.481,enhanced
11.38,enhanced
12.239,enhanced
12.503,enhanced
13.021,enhanced
13.585,enhanced
13.692,enhanced
14.5,enhanced
14.908,enhanced
14.925,enhanced
16.499,enhanced
16.866,enhanced
17.034,enhanced
17.139,enhanced
17.264,enhanced
17.657,enhanced
17.98,enhanced
18.043,enhanced
18.2,enhanced
18.785,enhanced
19.261,enhanced
19.866,enhanced
20.111,enhanced
20.228,enhanced
20.837,enhanced
20.92,enhanced
22.668,enhanced
23.547,enhanced
23.836,enhanced
24.179,enhanced
24.311,enhanced
25.745,enhanced
26.841,enhanced
27.068,enhanced
27.28,enhanced
27.293,enhanced
27.524,enhanced
27.686,enhanced
27.719,enhanced
27.966,enhanced
28.502,enhanced
28.987,enhanced
30.231,enhanced
30.632,enhanced
31.566,enhanced
31.839,enhanced
32.32,enhanced
32.423,enhanced
33.945,enhanced
34.695,enhanced
35.158,enhanced
35.353,enhanced
36.182,enhanced
37.31,enhanced
37.495,enhanced
38.825,enhanced
38.862,enhanced
39.067,enhanced
39.493,enhanced
39.676,enhanced
39.728,enhanced
39.84,enhanced
40.309,enhanced
41.196,enhanced
42.589,enhanced
43.299,enhanced
43.564,enhanced
43.878,enhanced
44.27,enhanced
44.833,enhanced
44.898,enhanced
45.002,enhanced
45.118,enhanced
45.163,enhanced
46.749,enhanced
47.002,enhanced
47.856,enhanced
47.954,enhanced
48.476,enhanced
48.915,enhanced
49.416,enhanced
50.634,enhanced
50.993,enhanced
51.528,enhanced
51.752,enhanced
51.894,enhanced
52.433,enhanced
52.976,enhanced
54.165,enhanced
54.534,enhanced
54.69,enhanced
55.231,enhanced
55.284,enhanced
55.481,enhanced
56.226,enhanced
56.418,enhanced
56.932,enhanced
57.545,enhanced
58.267,enhanced
58.581,enhanced
58.672,enhanced
59.437,enhanced
59.496,enhanced
59.995,enhanced
60.014,enhanced
60.081,enhanced
61.261,enhanced
62.287,enhanced
62.686,enhanced
63.544,enhanced
63.907,enhanced
64.611,enhanced
64.935,enhanced
64.966,enhanced
65.052,enhanced
66.774,enhanced
67.886,enhanced
68.333,enhanced
69.189,enhanced
69.36,enhanced
69.498,enhanced
70.134,enhanced
70.736,enhanced
71.04,enhanced
72.044,enhanced
72.673,enhanced
73.141,enhanced
73.354,enhanced
73.554,enhanced
73.819,enhanced
74.429,enhanced
74.467,enhanced
74.672,enhanced
74.859,enhanced
75.272,enhanced
75.409,enhanced
75.542,enhanced
75.844,enhanced
76.576,enhanced
76.96,enhanced
77.666,enhanced
77.809,enhanced
77.939,enhanced
78.439,enhanced
78.722,enhanced
78.814,enhanced
78.95,enhanced
79.115,enhanced
79.557,enhanced
80.184,enhanced
81.477,enhanced
81.522,enhanced
82.251,enhanced
82.418,enhanced
82.698,enhanced
82.906,enhanced
83.267,enhanced
83.337,enhanced
83.628,enhanced
83.654,enhanced
83.729,enhanced
85.311,enhanced
85.606,enhanced
86.294,enhanced
87.236,enhanced
87.331,enhanced
87.501,enhanced
87.786,enhanced
88.213,enhanced
88.278,enhanced
88.412,enhanced
88.668,enhanced
89.75,enhanced
89.897,enhanced
90.668,enhanced
90.683,enhanced
91.472,enhanced
91.686,enhanced
92.155,enhanced
93.106,enhanced
93.178,enhanced
93.335,enhanced
93.769,enhanced
94.098,enhanced
94.757,enhanced
94.919,enhanced
95.092,enhanced
96.104,enhanced
97.226,enhanced
97.278,enhanced
97.349,enhanced
97.747,enhanced
98.219,enhanced
98.755,enhanced
100.027,enhanced
100.451,enhanced
100.736,enhanced
101.278,enhanced
101.333,enhanced
102.756,enhanced
103.476,enhanced
103.539,enhanced
104.091,enhanced
104.627,enhanced
104.78,enhanced
105.694,enhanced
105.717,enhanced
105.85,enhanced
106.377,enhanced
106.893,enhanced
107.175,enhanced
107.198,enhanced
107.351,enhanced
107.931,enhanced
108.366,enhanced
108.761,enhanced
109.134,enhanced
109.519,enhanced
111.004,enhanced
111.03,enhanced
111.129,enhanced
111.775,enhanced
111.906,enhanced
112.802,enhanced
113.406,enhanced
113.415,enhanced
114.368,enhanced
114.561,enhanced
114.591,enhanced
114.9,enhanced
114.98,enhanced
115.335,enhanced
115.437,enhanced
115.488,enhanced
115.532,enhanced
115.916,enhanced
116.176,enhanced
116.349,enhanced
116.735,enhanced
117.668,enhanced
117.869,enhanced
118.289,enhanced
118.7,enhanced
119.145,enhanced
119.45,enhanced
119.911,enhanced
119.976,enhanced
120.256,enhanced
120.927,enhanced
121.405,enhanced
121.549,enhanced
121.776,enhanced
122.169,enhanced
122.899,enhanced
123.035,enhanced
123.038,enhanced
123.117,enhanced
123.224,enhanced
123.583,enhanced
123.725,enhanced
124.059,enhanced
124.095,enhanced
124.212,enhanced
124.719,enhanced
124.864,enhanced
