distance
0.108
-0.663
0.024
0.537
0.403
0.03
-0.141
0.384
-0.141
-0.243
0.183
0.147
-0.355
0.929
0.075
0.473
0.201
0.322
-0.655
0.711
-0.48
0.069
0.006
0.054
0.311
0.231
-0.441
-0.003
-0.021
-0.273
0.621
-1.859
-1.017
0.663
0.351
-0.369
2.731
-0.438
-0.021
-1.386
0.663
0.732
-0.132
0.507
-3.469
0.402
-3.119
0.048
0.012
-0.181
0.18
0.603
-0.24
-0.105
-0.393
0.129
0.246
-0.183
0.141
-0.039
0.033
0.969
0.183
-0.576
0.138
-0.93
0.774
0.147
1.979
-0.171
0.003
-0.024
-0.096
0.096
0.21
2.247
-1.453
-0.012
0.003
-0.105
0.084
0.117
-0.239
-0.556
-0.896
0.594
0.822
3.221
-0.003
0.129
0.246
-0.702
-1.501
-1.532
2.71
-2.744
-0.497
-0.12
2.229
1.011
1.612
1.099
0.642
1.127
-0.582
0.039
0.224
-0.274
0.514
-0.057
0.231
0.655
0.802
0.333
0.156
-1.143
0.762
0.06
0.772
-3.146
-1.366
0.3
0.003
0.003
-0.345
0.231
-0.039
0.085
3.458
-0.099
-1.137
-1.096
1.182
-6.771
-0.273
-0.276
1.332
-0.093
-1.85
-0.774
-0.144
-0.324
0.06
-0.048
23.469
0.939
0.414
-0.18
1.718
0.006
0.033
-0.443
-1.082
0.003
0.638
0.18
-0.057
-2.616
-1.285
-0.003
0.909
-0.063
-0.003
0.003
0.716
-0.796
-1.848
-0.374
2.01
-1.742
-1.468
-0.354
0.312
0.051
0.38
0.141
-2.061
-0.152
-1.817
0.774
-1.378
-0.645
-0.955
2.135
-0.303
0.003
-0.159
-0.847
0.33
0.093
-0.096
-0.864
-0.546
-1.961
-0.82
4.62
-0.045
-0.36
-0.015
-4.114
-0.315
-0.015
-0.099
-0.246
-0.557
0.009
0.264
0.78
-0.522
-0.973
-0.196
0.63
-0.64
0.003
-0.102
0.138
-0.003
-0.129
0.165
4.214
-0.74
0.003
0.778
-0.794
-0.398
1.033
2.395
1.958
0.003
-0.003
0.003
0.003
0.602
2.217
-3.497
-0.069
-0.108
-0.297
-1.729
-0.395
-0.132
-8.464
-3.744
-0.096
-0.003
1.151
3.951
-0.369
0.589
-2.717
2.156
-0.177
-0.126
-0.036
0.579
0.84
-0.911
-0.06
-0.516
0.117
0.003
1.052
1.638
-0.97
3.236
-1.786
-0.111
-0.369
-1.948
0.102
3.149
0.155
-0.084
0.162
2.504
-0.416
0.219
0.227
-0.8
-0.237
1.242
0.198
-4.993
1.893
-1.541
-0.096
-0.342
-0.003
3.562
-0.099
5.012
-0.51
-0.411
0.012
0.378
-0.756
0.039
-1.949
-0.887
0.099
1.032
-0.048
-0.563
0.153
0.613
-0.343
-0.33
4.642
-0.27
0.07
-0.747
0.153
-0.345
-0.189
-1.16
0.027
3.451
1.501
-1.215
-1.218
-0.243
-0.511
0.024
-0.094
-3.378
0.619
2.838
0.817
-0.003
0.481
-0.318
1.579
0.697
-9.669
0.105
-0.397
0.437
1.677
-0.276
-0.186
0.291
-0.228
-0.3
-0.201
-1.357
-0.069
-2.227
-0.081
4.738
-0.237
-3.24
-6.217
0.159
-0.393
-0.228
0.132
-0.126
0.144
2.087
-0.456
-1.771
-0.015
1.287
-1.529
-0.576
0.429
0.664
-2.93
1.386
0.135
2.485
0.909
-0.129
-1.666
0.001
-17.671
-0.15
-0.565
0.087
0.081
-0.669
0.039
-0.183
0.699
-1.913
-2.188
0.066
0.807
-0.501
-4.947
-2.229
-0.054
1.521
0.266
-0.484
0.735
-0.045
-0.673
0.174
-1.13
3.85
0.488
-0.324
2.494
0.018
0.117
-1.243
-1.942
0.375
-0.28
2.885
0.033
-0.222
6.793
0.975
0.111
0.582
0.443
-2.117
0.147
1.137
2.729
1.548
-0.372
-5.171
2.174
0.54
0.315
-2.366
0.399
0.36
2.234
-4.36
1.374
0.06
0.186
-0.891
0.381
-1.152
-3.012
-0.324
0.387
3.431
